ASS_NR;IFOPT
747;de:05315:16069
748;de:05315:16070
749;de:05315:16862
750;de:05315:15001
751;de:05315:16863
754;de:05315:12550
756;de:05315:14059
757;de:05315:17661
758;de:05315:17662
759;de:05315:17663
760;de:05315:17664
761;de:05315:17665
762;de:05315:17666
763;de:05315:17667
764;de:05315:17668
765;de:05315:17851
766;de:05315:17853
767;de:05315:17854
768;de:05315:14031
769;de:05315:14034
770;de:05315:14032
771;de:05315:14060
772;de:05315:14033
773;de:05315:15261
774;de:05315:16065
775;de:05315:16066
776;de:05362:85357
777;de:05315:12666
778;de:05315:13463
779;de:05315:19101
780;de:05315:12755
781;de:05315:16067
783;de:05315:12253
784;de:05315:15058
785;de:05315:11455
786;de:05315:13850
787;de:05315:18631
788;de:05315:17255
789;de:05315:15256
790;de:05315:17250
791;de:05315:13780
792;de:05315:17256
793;de:05315:16658
794;de:05315:19634
795;de:05315:19631
796;de:05315:11946
797;de:05315:11947
798;de:05315:11948
799;de:05315:18364
800;de:05315:19321
801;de:05315:19663
803;de:05315:19650
804;de:05315:13847
805;de:05315:17266
806;de:05315:11952
807;de:05315:13848
808;de:05315:13849
809;de:05315:13846
810;de:05315:16453
811;de:05315:16250
812;de:05315:19991
813;de:05315:19801
814;de:05316:19901
815;de:05315:15250
816;de:05315:18001
817;de:05315:19973
818;de:05315:15414
819;de:05315:15157
820;de:05315:15450
821;de:05315:19354
822;de:05315:15460
823;de:05315:13774
824;de:05315:15073
825;de:05315:15072
826;de:05315:15071
827;de:05315:15055
828;de:05315:15056
829;de:05315:15057
830;de:05315:13707
831;de:05315:18558
832;de:05315:17257
833;de:05315:14241
834;de:05315:14243
835;de:05315:14201
836;de:05315:14242
837;de:05315:15064
838;de:05315:15355
839;de:05315:15556
840;de:05315:12981
841;de:05315:15653
842;de:05315:19870
843;de:05315:18559
844;de:05315:14472
846;de:05315:11652
847;de:05315:12671
849;de:05315:14463
850;de:05315:13314
851;de:05315:19666
852;de:05315:13559
853;de:05315:16486
854;de:05315:16485
855;de:05315:16487
856;de:05315:16181
857;de:05315:16059
858;de:05315:16488
859;de:05315:12563
860;de:05315:15270
861;de:05315:15560
862;de:05315:17360
863;de:05315:17361
864;de:05315:17552
866;de:05315:13050
868;de:05315:18560
869;de:05382:54252
871;de:05315:12957
872;de:05315:13775
873;de:05315:18366
874;de:05315:12056
875;de:05315:13151
876;de:05315:11530
877;de:05315:19568
878;de:05315:19569
879;de:05315:19570
